nome;descricao;categoria
 O Hobbit - 7ª Ed. 2013 ;Produto NovoBilbo Bolseiro é um hobbit que leva uma vida confortável e sem ambições. Mas seu contentamento é perturbado quando Gandalf, o mago, e uma companhia de anões batem à sua porta e levam-no para uma expedição. Eles têm um plano para roubar o tesouro guardado por Smaug, o Magnífico, um grande e perigoso dragão. Bilbo reluta muito em participar da aventura, mas acaba surpreendendo até a si mesmo com sua esperteza e sua habilidade como ladrão!CaracterísticasAutor: Tolkien, J. R. R.Peso: 0.44I.S.B.N.: 9788578277109Altura: 20.000000Largura: 13.000000Profundidade: 1.000000Número de Páginas: 328Idioma: PortuguêsAcabamento: BrochuraNúmero da edição: 7Ano da edição: 2013;livro
 Livro - It A Coisa - Stephen King ;"Produto NovoDurante as férias escolares de 1958, em Derry, pacata cidadezinha do Maine, Bill, Richie, Stan, Mike, Eddie, Ben e Beverly aprenderam o real sentido da amizade, do amor, da confiança e... do medo. O mais profundo e tenebroso medo. Naquele verão, eles enfrentaram pela primeira vez a Coisa, um ser sobrenatural e maligno que deixou terríveis marcas de sangue em Derry. Quase trinta anos depois, os amigos voltam a se encontrar. Uma nova onda de terror tomou a pequena cidade. Mike Hanlon, o único que permanece em Derry, dá o sinal. Precisam unir forças novamente. A Coisa volta a atacar e eles devem cumprir a promessa selada com sangue que fizeram quando crianças. Só eles têm a chave do enigma. Só eles sabem o que se esconde nas entranhas de Derry. O tempo é curto, mas somente eles podem vencer a Coisa. Em ""It - A Coisa"", clássico de Stephen King em nova edição, os amigos irão até o fim, mesmo que isso signifique ultrapassar os próprios limites.CaracterísticasAutor: King,StephenPeso: 1.44I.S.B.N.: 9788560280940Altura: 23.000000Largura: 15.000000Profundidade: 5.300000Idioma: PortuguêsAcabamento: 0Tradutor: Winarski, RegianeNúmero da edição: 0País de Origem: BrasilSegmento: Ficção - Histórias inquietantes - Terror";livro
 Box  As Crônicas De Gelo E Fogo  Pocket  5 Livros ;Produto NovoTodo o reino de Westeros ao alcance das mãos A série Crônicas de Gelo e Fogo dispensa apresentações. São mais de 30 milhões de livros vendidos ao redor do mundo – e cerca de 2 milhões do Brasil. Os números, assim como a profusão de tramas e personagens impressiona e atrai mais fãs a cada dia. Para satisfazer a ânsia dos aficionados e dos novos leitores, a Leya publica uma nova edição limitada do Box Crônicas de Gelo e Fogo com os cinco livros já escritos - A Guerra dos Tronos, A Fúria dos Reis, A Tormenta de Espadas, O Festim dos Corvos e A Dança dos Dragões – em versão pocket.CaracterísticasAutor: Martin,George R. R.Peso: 1.7I.S.B.N.: 9788544100127Altura: 17Largura: 12Profundidade: 1Idioma: Português;livro
 Box Harry Potter ;Produto Novo e Físico  A série Harry Potter chega às prateleiras em mais uma edição de colecionador. Os sete livros da saga criada por J. K. Rowling - que acompanha a jornada do adorado aprendiz de bruxo contra o maléfico Voldemort - ganham novas capas e novas ilustrações e vêm num box exclusivo. Harry Potter E A Pedra Filosofal - Livro 1 Em Harry Potter e a Pedra Filosofal, o leitor é apresentado a Harry, filho de Tiago e Lílian Potter, feiticeiros que foram assassinados por um poderosíssimo bruxo, quando ele ainda era um bebê. Com isso, o menino acaba sendo levado para a casa dos tios que nada tinham a ver com o sobrenatural pelo contrário. Até os 10 anos, Harry foi uma espécie de gata borralheira: maltratado pelos tios, herdava roupas velhas do primo gorducho, tinha óculos remendados e era tratado como um estorvo. No dia de seu aniversário de 11 anos, entretanto, ele parece deslizar por um buraco sem fundo, como o de Alice no país das maravilhas, que o conduz a um mundo mágico. Descobre sua verdadeira história e seu destino: ser um aprendiz de feiticeiro até o dia em que terá que enfrentar a pior força do mal, o homem que assassinou seus pais, o terrível Lorde das Trevas. O menino de olhos verdes, magricela e desengonçado, tão habituado à rejeição, descobre, também, que é um herói no universo dos magos. Potter fica sabendo que é a única pessoa a ter sobrevivido a um ataque do tal bruxo do mal e essa é a causa da marca em forma de raio que ele carrega na testa. Ele não é um garoto qualquer, ele sequer é um feiticeiro qualquer  ele é Harry Potter, símbolo de poder, resistência e um líder natural entre os sobrenaturais. A fábula, recheada de fantasmas, paredes que falam, caldeirões, sapos, unicórnios, dragões e gigantes, não é, entretanto, apenas um passatempo. Harry Potter conduz a discussões metafísicas, aborda o eterno confronto entre o bem e o mal, evidencia algumas mazelas da sociedade, como o preconceito, a divisão de classes através do dinheiro e do berço, a inveja, o egoísmo, a competitividade exacerbada, a busca pelo ideal a necessidade de aprender, nem que seja à força, que a vida é feita de derrotas e vitórias e que isso é importante para a formação básica de um adulto. Harry Potter E A Câmara Secreta - Livro 2 Em seu segundo ano na Escola de Magia de Hogwarts, Harry Potter começa a ser atormentado por vozes estranhas, que parecem sair de dentro da sua cabeça. Ele descobre ser ofidioglota, característica rara entre os bruxos, o que levanta suspeitas dele ter sido o responsável por abrir a Câmara Secreta, que guarda o terrível monstro Basilisco. Harry Potter E O Prisioneiro De Azkaban - Livro 3 Agora com 13 anos, Harry Potter torna-se mais rebelde, desafiando os tios e os professores. Nas aulas com o professor Lupin, ele aprende como enfrentar os terríveis dementadores, que se alimentam da alma das pessoas, e são os guardiões da prisão de Azkaban, de onde fugiu Sirius Black. Há indícios de que o prisioneiro possa estar na escola e, o que é pior, de que haja um traidor em Hogwarts. Inúmeras surpresas mostram que é preciso cuidado para reconhecer a distância entre a versão de alguns fatos e a verdade. A autora ainda presenteia o leitor com emocionantes partidas de quadribol, novas e assustadoras criaturas mágicas e um final surpreendente. Harry Potter E O Cálice De Fogo - Livro 4 No quarto ano em Hogwarts, Harry Potter, embora ainda sem idade suficiente, é misteriosamente selecionado pelo Cálice de Fogo para competir no arriscado Torneio Tribruxo. Estranhos sinais luminosos no céu mostram que Voldemort pode estar anunciando sua volta. Além disso, a marca na testa de Harry não pára de doer, o que sempre significa que algo muito tenso está para acontecer. Harry e seus amigos precisam enfrentar testes terríveis, dentro e fora da gincana. Será que estão preparados? Harry Potter E A Ordem Da Fênix - Livro 5 O Ministério da Magia começa a intervir em Hogwarts, não acreditando no retorno de Voldemort propalado por Harry Potter e Alvo Dumbledore. Indicada pelo Ministério como professora de Defesa Contra as Arte das Trevas, Dolores Umbrigde proíbe a matéria para alunos mais novos, o que leva Harry a fundar a Armada Dumbledore, para ensinar seus colegas a se defenderem do lorde e seus Comensais da Morte. Na batalha Bem versus Mal, Harry vai enfrentar as investidas de Voldemort sem a proteção de Dumbledore, já que o diretor de Hogwarts é afastado da escola. E vai ser sem seu protetor que o jovem herói enfrentará descobertas sobre a personalidade controversa de seu pai, Tiago Potter, e a perda de alguém muito próximo. Harry Potter E O Enigma Do Príncipe - Livro 6 Dumbledore passa a dar aulas particulares a Harry Potter e lhe mostra na penseira - bacia de pedra para estocar lembranças - fatos que confirmam a busca de Voldemort pela imortalidade através das Horcruxes, objetos criados para guardar parte da alma. Junto de Rony e Hermione, Harry parte para encontrar e destruir todas as Horcruxes do Lorde das Trevas, tornando-o mortal. Harry Potter E As Relíquias Da Morte - Livro 7 Voldemort está cada vez mais forte e Harry Potter precisa encontrar e aniquilar as Horcruxes para enfraquecer o lorde e poder enfrentá-lo. Nessa busca desenfreada, contando apenas com os leais amigos Rony e Hermione, Harry descobre as Relíquias da Morte, que serão úteis na batalha do Bem contra o Mal.CaracterísticasTipo de Produto: LivroMedidas (cm): 22.00 x 18.00 cmIdiomas: PortuguêsAno: 2015Autor: J. K. RowlingISBN: 8532512941Editora: RoccoEdição: 1ª Ed.Encadernação: BrochuraNº de Páginas: 3067Mais Informações: Tradutor: Lia Wyler, Assunto: Ficção Fantasiosa, Origem: Nacional, Código de Barras: 9788532512949;livro
 Livro Origem - Dan Brown ;Produto NovoDe Onde Viemos? Para Onde Vamos? Robert Langdon, o famoso professor de Simbologia de Harvard, chega ao ultramoderno Museu Guggenheim de Bilbao para assistir a uma apresentação sobre uma grande descoberta que promete “mudar para sempre o papel da ciência”. O anfitrião da noite é o futurólogo bilionário Edmond Kirsch, de 40 anos, que se tornou conhecido mundialmente por suas previsões audaciosas e invenções de alta tecnologia. Um dos primeiros alunos de Langdon em Harvard, há 20 anos, agora ele está prestes a revelar uma incrível revolução no conhecimento… algo que vai responder a duas perguntas fundamentais da existência humana. Os convidados ficam hipnotizados pela apresentação, mas Langdon logo percebe que ela será muito mais controversa do que poderia imaginar. De repente, a noite meticulosamente orquestrada se transforma em um caos, e a preciosa descoberta de Kirsch corre o risco de ser perdida para sempre. Diante de uma ameaça iminente, Langdon tenta uma fuga desesperada de Bilbao ao lado de Ambra Vidal, a elegante diretora do museu que trabalhou na montagem do evento. Juntos seguem para Barcelona à procura de uma senha que ajudará a desvendar o segredo de Edmond Kirsch. Em meio a fatos históricos ocultos e extremismo religioso, Robert e Ambra precisam escapar de um inimigo atormentado cujo poder de saber tudo parece emanar do Palácio Real da Espanha. Alguém que não hesitará diante de nada para silenciar o futurólogo. Numa jornada marcada por obras de arte moderna e símbolos enigmáticos, os dois encontram pistas que vão deixá-los cara a cara com a chocante revelação de Kirsch… e com a verdade espantosa que ignoramos durante tanto tempo.CaracterísticasAutor: Brown,DanPeso: 0.58I.S.B.N.: 9788580417661Altura: 23.000000Largura: 16.000000Profundidade: 2.000000Número de Páginas: 432Idioma: PortuguêsAcabamento: 0Número da edição: 1País de Origem: Brasil;livro
 Mais Escuro - Cinquenta Tons Mais Escuros Pelos Olhos De Chr ;Produto Novo e Físico  O relacionamento quente e sensual de Anastasia Steele e Christian Grey chega ao fim com muitas acusações e sofrimento, mas Grey não consegue tirar Ana da cabeça. Determinado a reconquistá-la, ele tenta suprimir seus desejos mais obscuros e sua necessidade de controle absoluto, e disposto a amar Ana nos termos estabelecidos por ela. Mas os horrores de sua infância ainda o assombram, e, como se não bastasse, o chefe manipulador de Ana, Jack Hyde, claramente a quer. Será que o terapeuta e confidente de Grey, Dr. Flynn, poderá ajudá-lo a enfrentar seus demônios? Ou será que a possessividade de Elena, sua sedutora, e a devoção perturbada de Leila, sua ex-submissa, vão arrastá-lo para o passado? E se Christian vai reconquistar Ana, será que um homem tão sombrio e cheio de problemas espera mesmo mantê-la?CaracterísticasTipo de Produto: LivroMedidas (cm): 23.00 x 16.00 x 2.50 cmIdiomas: PortuguêsAno: 2018Autor: e. l. JamesISBN: 9788551002834Editora: IntrinsecaEdição: 1ª Ed.Encadernação: BrochuraNº de Páginas: 496Mais Informações: Tradutor: Regiane Winarscki  Catharina Pinheiro  Andrea Gottlieb, Assunto: Romances, Origem: Nacional, Código de Barras: 9788551002834;livro
 O Silmarillion - 5ª Ed. 2011 ;Produto NovoO Silmarillion, relata acontecimentos de uma época muito anterior ao final da Terceira Era, quando ocorreram os grandes eventos narrados em O Senhor dos Anéis. São lendas derivadas de um passado remoto, ligadas às Silmarils, três gemas perfeitas criadas por Fëanor, o mais talentoso dos elfos. Tolkien trabalhou nesses textos ao longo de toda a sua vida, tornando-os veículo e registro de suas reflexões mais profundas.CaracterísticasAutor: Tolkien, J. R. R.Peso: 0.5I.S.B.N.: 9788578274887Altura: 20.800000Largura: 13.800000Profundidade: 1.000000Número de Páginas: 480Idioma: PortuguêsAcabamento: BrochuraIdade recomendada: JuvenilNúmero da edição: 5País de Origem: Brasil;livro
 O Pequeno Principe ;O Pequeno Príncipe é um dos personagens mais famosos e queridos de todos os tempos, que empolga crianças e adultos com ensinamentos inesquecíveis. Sua história deixa marcas pela forma simples de suas mensagens de otimismo, simplicidade e amor ao nosso planeta. À primeira vista, um livro para crianças. Na definição de Antoine Saint-Exupéry, seu autor, um livro urgentíssimo para adultos que resgata a criança que existe em cada um de nós, com encanto, ética e beleza.;livro
 Ed & Lorraine Warren - Demonologistas  Arquivos... ;Produto NovoEles enfrentaram os mistérios mais sinistros dos últimos sessenta anos, sempre em busca da verdade. Agora é a sua vez de entrar em contato com o sobrenatural. Você tem coragem? Então leia “Ed & Lorraine Warren: Demonologistas”, a biografia definitiva dos mais famosos investigadores paranormais do nosso plano astral. Não é de hoje que os fãs do terror conhecem Ed Warren e sua esposa, Lorraine. O casal foi retratado em filmes de grande sucesso, como Invocação do Mal, Annabelle e Horror em Amityville. Mas basta folhear as páginas de “Ed & Lorraine Warren: Demonologistas” para constatar que, muitas vezes, a vida pode ser bem mais assustadora que o cinema. No livro, Gerald Brittle desvenda alguns dos principais casos reais vividos pelos Warren. Ed e Lorraine permitiram ao autor acesso exclusivo aos seus arquivos sobrenaturais, que incluem relatos extraordinários de poltergeists, casas mal-assombradas e possessões demoníacas. O resultado é um livro rico em detalhes como nenhum outro. “Minha pesquisa foi totalmente baseada em Ed & Lorraine Warren: Demonologistas.”— Vera Farmiga — “É o livro mais assustador que já li.” — James Wan, diretor de Invocação do Mal 2CaracterísticasAutor: Brittle,GeraldPeso: 0.52I.S.B.N.: 9788594540164Altura: 23.000000Largura: 16.000000Profundidade: 1.000000Número de Páginas: 272Idioma: PortuguêsAcabamento: Capa duraNúmero da edição: 1Ano da edição: 2016Segmento: Ficção - Histórias inquietantes - Terror;livro
 Box - Franz Kafka 1883-1924 - 3 Livros ;Produto NovoEste box contém 3 livros de Franz Kafka: A Metamorfose, O Processo e O Castelo. A Metamorfose: Gregor Samsa, um caixeiro-viajante, certo dia ao acordar, descobre que se metamorfoseou em algo semelhante a um gigantesco inseto. A partir daí a história se desenrola com base nas transformações pelas quais a família passa em virtude da mudança inicial de Samsa, agora visto pelos pais como um animal nojento e pela irmã como uma criatura digna de pena. A obra, dividida em três partes, alia uma dose de humor a fatos inverossímeis, e o autor nos leva a pensar sobre a condição humana frente a acontecimentos inesperados que resultam em mudanças bruscas. Embora publicada em 1915, a obra se mantém viva, devido aos temas peculiares da sociedade atual, como a falta de esperança, o pessimismo, a crise existencial, a solidão, a impotência e a dignidade humana. O Processo: Um dos maiores romances do século XX, o processo narra a história de Josef K., um funcionário exemplar de um banco importante, que ao acordar na manhã de seu trigésimo aniversário, descobre-se réu de um processo sem, no entanto, saber os motivos que levaram a essa situação. Tentando desvendar as causas de ser processado por um crime não especificado, K. luta por seus direitos durante toda a narrativa, recorrendo a diversas pessoas no intuito de desvendar não apenas sua situação, mas também a causa de o processarem. Com um final inesperado, a obra nos leva a refletir sobre um poder judiciário que se mostra falho e vulnerável. Sem dúvida, um romance sobre a angústia e a frustração do ser humano em uma sociedade opressora e limitada pela burocracia. O castelo: Escrito em 1922, mas lançado somente depois da morte de Frank Kafka, O castelo conta a história do agrimensor K. – mesmo sobrenome do protagonista do livro O processo -, que é chamado por um conde de um local não especificado para prestar seus serviços. Contudo, por mais que tente, não consegue entrar no castelo, ficando na vila de fora do castelo ao longo da narrativa. As interpretações do livro são muitas, desde simplesmente uma crítica à burocracia estatal até uma visão religiosa, mais especificamente judaica. Há também uma visão psicológica dizendo que o castelo seria o inconsciente de K, e a vila sua consciência. Contudo, por se tratar de um autor do século XX, que vive as incertezas geradas pelo crescente processo de urbanização e pela primeira Guerra Mundial, Kafka apresenta-nos um personagem que não encontra respostas para suas interrogações humanas perante um mundo em silêncio. Uma obra envolvente sobre um homem e sua ineficácia luta contra uma autoridade, misteriosa e impenetrável.CaracterísticasAutor: Kafka, FranzPeso: 0.557I.S.B.N.: 9788542812077Altura: 23Largura: 16Profundidade: 6.54Número de Páginas: 704Idioma: PortuguêsAcabamento: BrochuraNúmero da edição: 1Ano da edição: 2017Box/Coleção: Sim;livro
