Movie name,Review,Created at,Score,Genre
Arrival,Denis villeneuve shows us all his talent in this film which is for me his best : science fiction is used in the best way. I have rarely been so taken by the mystery of a film during my first cinema session.,"OCT 3, 2022",10,Mistery
Arrival,"Amy Adams gives a superb performance in what could be called ""Independence Day with a Brain."" Denis Villeneuve delivers an intentional methodically paced script with the sort of intelligence, nuance, and confidence that feels wholly refreshing.","MAR 7, 2022",10,Mistery
Arrival,"This movie is not for everyone. If you wanted a science fiction action blockbuster then you will be disappointed. However it is one of the most brilliant plots in scifi. I won’t spoil the details but once you understand the twist it’s just magnificent. It is a movie worth to discuss with friends and very memorable because it does something completely different. The ideas for follow up stories are basically endless. It is based on the book “The story of her life” if I am correct. Also all actors were the right choices for their respected rolls. I think this will be a forgotten masterpiece because it is not mainstream enough. Sorry for not going in in details, but it will ruin the movie. Think about the twist in “The sixth sense”. If someone spoiled it for you the movie would be less good (or a lesser experience?).","DEC 6, 2019",10,Mistery
Arrival,"Arrival is one of my favorite Sci Fi movies of all time. The movie doesn't need flashy action sequences or superficial Drama to deliver a thoughtful and emotional experience. Even the ""plot twist"" if you may call it that is in clear service of the story and not just a plot twist for the sake of it. Arrival manages to connect with me every time I watch it. I think this is some of the best that Sci Fi has to offer.","APR 3, 2020",10,Mistery
Arrival,"I don't think this movie is about that ""what makes us human"". Personally I think it is about creating your own reality. The whole movie developes around the ability of a character to understand a language. In a way, Adams' character is a child (humanity) learning to speak. She has to go through all the tribulations of learning a new language, a powerful one at that. The premise is quite interesting and it took me two views to get it: Your language (the way you express what you think) determines your reality. They even mention it at the beginning of the movie, with the Sapir-Whorf theory. This is by far a very metaphysical proposal, and a very adecuate one at that, one that has been told to us by great master of ancient (""For by your words you will be justified, and by your words you will be condemned""). In a way, language IS reality, it is the only way we have to describe it and thus create it. So it would make sense that a more powerful language would create a different, more powerful reality. In the movie, learning the aliens' language would opne the doors of time and space for you, and this can be wither a weapon (as first understood by humans) or a gift, as later realized by Adams. Of course the ability to thread between past, present and future could be a powerful weapon, or a great gift. Once she realizes this, it is quite interesting that she still chooses to have her baby, aware of the outcome, but the most important choice she makes, while having the ability to visit the past or future, is to live in the present. Powerful message indeed. So now you know, choose your words carefully.","MAR 2, 2020",8,Mistery
Arrival,"Arrival is a sci-fi film only in presentation, as the film explores deeper themes of human communication and aggressiveness. While Arrival’s initial presentation may seem jarring and somewhat flawed, as the movie progresses and the twist is revealed, the editing choices and the pseudo-confusing sequencing end up contributing to the movie's meaning as a larger whole. Arrival explores various linguistic and psychological theories and takes them to an extreme, even using them as the crux for its storytelling. While it does benefit the viewer to be familiar with psychological concepts, especially linguistic determinism, the film does a good job explaining the fundamental concepts the story is based upon. Arrival is not only a cautionary tale but also a hopeful one. Arrival purports that through cooperation and coordination, i.e. through avoiding competition, a future which benefits more to a greater degree can be achieved. In this way, Arrival is a greatly anti-capitalist film presented in a widely digestible way. Villeneuve is a highly-skilled director, and, with Arrival, he shows that he can blend genres and excel while doing it.","MAY 2, 2020",9,Mistery
Arrival,One of the best movies of the past 10 years. Their take on aliens is so fresh and interesting. Highly recommended.,"SEP 19, 2023",10,Mistery
Arrival,"With no doubt, one of the best movies of the decade, far from the typical Hollywood script.","JUN 10, 2021",10,Mistery
Arrival,Arrival is a science fiction mystery masterpiece with an original message and theme that will intrigue moviegoers everywhere.,"JAN 23, 2023",10,Mistery
Arrival,"If you like movies like Contact, or Interstellar, you will love this one. Don't want to say too much, just...MINDBLOWING","MAR 22, 2021",10,Mistery
Arrival,One of the best sci-fy films. One of the best and innovative directors. Predictable result.,"OCT 21, 2021",10,Mistery
Arrival,"This is quite an eery film - I felt it seemed almost more like a documentary than a sci-fi drama film at one point, with a narrator explaining to the viewer what had been learnt about the mysterious new beings from outer space who have apparently taken up residence in a number of locations on Earth. I liked the nostalgic flashbacks shown, a reminder of childrens curiosity and wonder when faced with seeing certain things for the first time. Its a relatively atmospheric film, with looming music used in the background, not dissimilar to that present in other previous sci-fi films, most notably Close Encounters of the Third Kind. It also reminded me somewhat of Jodie Foster in the film Contact from the 1990s. Its a somewhat deep film that makes you think about how threats are handled, at a global level, the responses by various governments and the like. If anything, I found it refreshing that in this instance, the US didn't exactly go in 'all guns blazing' and I appreciated that the main character, Louise Banks, tries very hard to understand and see things from the unknowns' point of view. I don't think I can say much more but suffice to say, I recommend this film.","NOV 20, 2021",8,Mistery
Arrival,"The most intelligent film ever. The best Sci-Fi film ever. The best film of Denis Villeneuve. It's the best multisensorial experience; how script, directing, cinematography, editing, sound, production design, visual effects and performances strike a great balance one each other to breakthrough a new way to watch and understand the pass time.","DEC 12, 2021",10,Mistery
Arrival,"Really amazing movie with great visuals,the characters in the movie were described beautifully and intelligently. Arrival in my opinion did everything right what other alien invasion movie ruins,it is a perfect response to bad movies","APR 18, 2020",9,Mistery
Arrival,"One of 2016 finest movies. Though provoking and clever movie that showcases the acting talents of Adams as well as arguably the brightest and most consistent director in Hollywood, Denis Villeneuve.","JAN 5, 2021",9,Mistery
