Movie name,Review,Created at,Score,Genre
Rogue One: A Star Wars Story,"If I'm looking at this movie super critically it deserves a 7, but I'm going to give it an 8 because it's just such a fun movie. This movie isn't here for you to get super invested in its story. It's here to do two things: explain why the Death Star had a built flaw, and explain how the rebels got the Death Star plans. It does those two things very well. The best part of this movie is easily the ending, and that's true for most Star Wars movies. It's very easy to understand, the action is exciting, and it's well animated, choreographed, and acted, there's a lot is going on, but it never feels overwhelming. Finally, and I know that I'm going to sound like I'm joking when I say this but I'm not. The most refreshing thing about this movie is that the two main characters don't kiss at the end. I'm so sick of forced romance plots being shoved into movies that don't need them. This very franchise is guilty of that. They're just happy to exist next to each other, and that's refreshing in this generation of movies. If you want a fun Star Wars movie and nothing more then I'd say pick this one up. It's very fun, it doesn't really overstay your welcome, and it keeps a good pace throughout. By the time you're getting a bit tired of the final fight, it's over and we're into A New Hope territory. It's a fun movie, and that's all it really needed to be.","MAY 5, 2022",8,Fantasy
Rogue One: A Star Wars Story,"A Stunning masterpiece, which frankly comes as a massive shock following Disney's previous entries in the franchise. This film manages to rewrite the canon is a satisfying way that up to this point was inconceivable from modern Star Wars. The casting is great, the acting is on-point, the effects are generally phenomenal, and the use of practical effects really grounds it in the OT Era. Even the CGI de-aging while imperfect is satisfying enough.","SEP 5, 2022",8,Fantasy
Rogue One: A Star Wars Story,"Rogue One: A Star Wars Story. For the sake of which everything that was in ""A New Hope"" happened. Star Wars has managed to create a truly dramatic and dark story. Great cast of actors and soundtrack perfectly complemented the whole picture. I would love to see more dark Star Wars like this. Also, the creators did not stint on a couple of nostalgic moments, showing us old and beloved characters. From a small minus, you can cancel a slightly bad attempt to return to the screens of characters whose actors have already left this world, which is why these computer faces and all their facial expressions are very striking.","NOV 27, 2022",9,Fantasy
Rogue One: A Star Wars Story,"I like this movie more than most people. I just find it to fit my tastes well. I heard it was supposed to be a very gritty war movie but Disney changed a lot. If I saw the original vision of the director, I would be ecstatic. Unfortunately, we don’t have the directors cut. Come one Disney, release their vision. I like how their wasn’t a forced romance which was really refreshing. K2SO was really funny. To me, he had R2 energy but talked. I won’t pretend the movie is perfect. It has pacing problems and some scenes really weren’t necessary. Also, the revived Peter Cushing was really weird but I prefer it to Mandolorian Season 2 Luke. Despite the plethora of problems, it’s still better than the other Disney Star Wars movies excluding Force Awakens. I just like it and that’s my opinion. We can like bad things ok? If I had to rate it without considering my intense enjoyment, it would probably be around 5-6.","AUG 30, 2022",8,Fantasy
Rogue One: A Star Wars Story,"This movie is very nice and it manages well in the function of explaining something more about star wars, there is not much to say precisely because the film is very nice but it has as its only flaw the fact that it can not make you emotionally bind enough with the main characters.","OCT 2, 2022",8,Fantasy
Rogue One: A Star Wars Story,"Rogue One: A Star Wars Story is a Star Wars movie that couldn't be more Star Wars. Set aside the Jedi and focused on the component of the Rebellion (finally!) the film does what it has to do. And it does it well. Maybe some characters could be handled well and the supporting characters are only needed to do one thing, die. But not all stories have to have a happy ending.","MAR 14, 2023",7,Fantasy
Rogue One: A Star Wars Story,I think it was a good movie. Better than the last trilogy :P I admit that I got bored with the movie in some parts.,"JUN 5, 2022",7,Fantasy
Rogue One: A Star Wars Story,The best film from Disney,"SEP 26, 2023",10,Fantasy
Rogue One: A Star Wars Story,"I wasn't moved by Rogue One in the same way that I am by very good movies. It featured far too much forced humour, perhaps to make up for the gloom and melancholy it contained. I also thought the music was too bland for my tastes; once again, it didn't appear to convey many emotions with the film and sounded generally too light, at least to my ears.","SEP 24, 2022",7,Fantasy
Rogue One: A Star Wars Story,"The only time disney hit the mark with their star wars IP. Grounded and gritty, Well written characters with great actors and actresses.","SEP 6, 2023",8,Fantasy
Rogue One: A Star Wars Story,"Greatest Star Wars movie and possibly content in general since Disney purchased the rights to Lucasfilm. Begins with slower but well done character introductions and leads into a spectacular climax. Cinematography is the best in all of Star Wars, the score is fitting and emotional, acting is above par and is probably the most unappreciated Star Wars film ever made.","DEC 1, 2022",10,Fantasy
Rogue One: A Star Wars Story,Cool! What? Only 75 letters? Oh sooooooooo! I cant do it! I can do it! 75? 75?!!!!!!,"NOV 8, 2022",8,Fantasy
Rogue One: A Star Wars Story,"THE GOOD: Great cast and great chemistry between them, especially Jyn and Andor. The script is better than the ones from Episodes VII-VIII-IX combined. At the 90 minute mark I thought that this was a decent SW film but... what a third act!, peak Star Wars. Directly to my Top 2. And Lord Vader? AMAZING staging, Gareth Edwards showed him to us as what he is: the greatest villain ever. THE BAD: Maybe a bit of a slow beginning. Not every character is engaging.","SEP 20, 2022",9,Fantasy
Rogue One: A Star Wars Story,"Worthy of the Star Wars name. A decent story arc, distinct characters with personality, impressive locales and good action both in space and on the ground. Buildup and pacing is good and never boring, all leading up to the epic finale. Even though the movie mostly revolves around mundane people, they do all feel heroic in the end because of their struggles, growth and sacrifices along the way.","APR 1, 2022",8,Fantasy
Rogue One: A Star Wars Story,"I dont know why this movie doesnt have much better reviews. I like this one: The story fits perfectly into the time between Episode 3 and 4, especially the connections with the costumes and the characters are obvious. The visual effects are also great and the action scenes are very good. The ending is good, something different than in many other movies. In addition the movie feels a lot like a Star Wars movie. Only the characters could have been more interesting, and some political correct elements are obvious.","MAY 22, 2022",9,Fantasy
Rogue One: A Star Wars Story,Perfect... kinda. It's certainly my favourite Star Wars movie. Didn't really like Cassian.,"JAN 16, 2023",10,Fantasy
Rogue One: A Star Wars Story,"One of the best Star Wars movies. Great characters, and great motivation for the protagonist. One K-2SO is gorgeous. The ending is simply beyond praise.","JUN 11, 2022",10,Fantasy
Rogue One: A Star Wars Story,"10/10 film, the best Disney has ever made, a bit old, but very good!!!","JAN 2, 2024",10,Fantasy
Rogue One: A Star Wars Story,Very emotional and inspired movie. The Dart Vader scene at the end is the highest moment in the franchise.,"FEB 10, 2022",8,Fantasy
Rogue One: A Star Wars Story,"Great war movie vibes, Rogue One ties in greatly to A New Hope, the final battle is the best of the Disney Star Wars, and who can forget that climatic hallway scene!!!","SEP 13, 2023",8,Fantasy
Rogue One: A Star Wars Story,"After rewatching the entire franchise, it was a bit stunning to realize that Rogue One is the best movie in Star Wars lore. It's gritty, in a way that is fundamentally different from the other films, yet still contains enough levity for it to feel like a crowd pleaser. How it tied together the other films is the work of someone on the level of Michelangelo, how it presented characters, new and old, are exciting, honest, and perfectly executed. One of the greatest standalone movies in any franchise. A true treat to have watched this movie.","OCT 4, 2022",9,Fantasy
Rogue One: A Star Wars Story,"Good movie. missing a bit of the star wars spark, but is still excellent. MY favorite part is the hallway scene and the dirty side of the Rebellion","JUN 3, 2022",8,Fantasy
Rogue One: A Star Wars Story,Best Disney Star Wars movie ever. Jyn is a believable great female lead. Action sequences were great. Darth Vader in hallway was absolutely epic.,"JUN 4, 2022",8,Fantasy
Rogue One: A Star Wars Story,"One of my favourite films of all time - such an eloquent display of filmmaking aptitude, incredible acting and a tightly written narrative.","DEC 11, 2023",10,Fantasy
Rogue One: A Star Wars Story,"It's simply the best Star Wars movie since The Empire Strikes Back,","JUN 23, 2022",10,Fantasy
Rogue One: A Star Wars Story,"I'm old enough to remember Empire Strikes Back coming out. Star Wars was the biggest thing from my childhood, and without any hesitation I would call this the best Star Wars film since the original trilogy. It recaptures the magic and tone that none of the subsequent movies could. It is also puts the WARS in there, this is the grittiest and most violent film of the series, not gratuitous, but putting the growing armed conflict front and center. The characters are amazing, the worlds are amazing, and the build up is amazing. Gareth Edwards did what JJ and Rian ""Expectashunzzz"" Johnson completely failed at, and for that, he was fired.","MAR 21, 2023",8,Fantasy
Rogue One: A Star Wars Story,"Rogue One tells the story that immediately precedes the successful classic Star Wars trilogy, and, as a prequel, it succeeds in creating a climate and creating a desire to watch the films that come next. This film brilliantly shows the vast universe of Star Wars, respects its previously established characters such as Darth Vader, and manages to create epic battles and breathtaking moments. The final sequence of this film is such endless action that it leaves anyone impressed. Fantastic film, one of the best in the Star Wars universe.","NOV 21, 2023",8,Fantasy
Rogue One: A Star Wars Story,"Enjoyed almost every part of the film. Interesting new characters, nicely linked to the OT without retconning or deconstructing any major characters. Could have done without the Leia scene, but it wasn't too bad.","JUN 11, 2022",8,Fantasy
