Movie name,Review,Created at,Score,Genre
John Wick,"Without a doubt a perfect recommendation for action lovers, it does not have such a complex lore, something that is fine for my taste. Incredible action scenes that will not leave anyone indifferent with a perfect soundtrack for each scene, incredible sound effects and super epic and exciting fights. You won't regret seeing it.","NOV 18, 2023",9,Crime
John Wick,"Who cares about a plot. This movie is solely about action and how much you can squeeze into a run time of 101 minutes. To do that, the action has to be excellent and for the most part it is.","JUN 6, 2021",8,Crime
John Wick,Great action fest until the Hotel part and then the story falls off the grounded cliff into flights of silly fantasy. I like half of this movie so 5/10 hey? Funny how a rewatch in 2022 bumps up the score. Current Hollywood films are really elevating the older films now.,"APR 21, 2022",7,Crime
John Wick,"Best action movie in a while, great visuals and great action sequences. Keanu Reeves is truly breathtaking","APR 23, 2023",9,Crime
John Wick,"(Spoiler free review)To say this movie is awesome and the franchise is accurate, the story is very interesting and great, the action is great, the score aka the music is on point.","NOV 12, 2021",10,Crime
John Wick,"Why it rocks: The story is clear, it isn’t boring, and it takes a break from the action when it wants to. Now the action itself is stunning. Very thrilling and exciting, absolutely jaw dropping and memorable. John Wick himself is a very committed person, and he stays that way.","APR 9, 2023",10,Crime
John Wick,"Very stylish film with good close combat action sequences (and some vehicle action). Villain is made to be fairly realistic and mortal, more so than John Wick, which is a nice change as these types of films often make the villains seem unrealistically bad. There's subtle dark humor mixed in throughout the film. Negatives, biggest is the large contrast of dialogue volume to music and sound effects, at least on a standard TV (may be better with an external sound system). You will need the remote, trust me. You also just have to accept it's unrealistic like many action films with the main character seeming to be invincible (though constantly getting beat up and seeming on the verge of death). The premise is borderline absurd though it's likely intentional, that he takes down a massive NYC crime mob all on his own because the son of the mob leader killed his dog and stole his car (why is explained as the film goes on, trying to avoid spoilers here). Could use more variety in the action, most of it is indoor gun shootouts, him versus 50 mob people several times (how big is this mob anyway? law enforcement has really failed if they've allowed something this big to develop). His dialogue is intentionally minimal but when he does speak, sometimes it comes off a bit corny and he has one mood / demeanor the entire film with a few exceptions (again, that likely isn't an oversight but what they wanted). Soundtrack is okay, may have been better without some of the alt-rock songs, not sure.","JUN 5, 2021",7,Crime
John Wick,"I can accept the fact that John Wick has supernaturally fast reflexes and a crack aim, but the CQQ fighting didn't seem plausible. Lots of beating up henchmen twice his size; he got away with it in the Matrix as it wasn't reality. Here? Not so much. 100's died in a bitter revenge tale because of a dog. He must have really loved that dog for the 5 minutes he had it.","MAR 5, 2023",7,Crime
John Wick,"After watching this movie I don't really know, where all the hype around the news parts comes from. It's an alright action movie with greatly executed fight scenes and setpieces, yet the story and (under-)world is absolutely boring to me. John frequently causes massacres depopulating entire city-blocks and it's mostly nodded off with a witty one-liner, that's fine one or two times, but it's seen multiple times throughout the entire movie. Still better than any Fast, Furious, or otherwise stathamy movie these days and Keanu Reeves definitely carries the entire thing.","JAN 20, 2021",7,Crime
John Wick,"I'm tired of the same action films, but I really liked this one. I'm not sure if it's because the director knows that this is an action movie and doesn't aim higher so you don't fall short of expectations. A simple, but effective story for the main character, good fights and stunts, good characters and an opened door for a sequel.","NOV 1, 2021",8,Crime
John Wick,"Good action movie, well made, beautiful, the guy isn't one of the best actors, but when it comes to shooting he knows a lot","NOV 14, 2022",7,Crime
John Wick,"I normally don't make reviews for movies but this movie was so good I had to make an exception. This movie is not just your typical generic action movie where your main character is an assassin given a task by someone, instead it's about a retired assassin that must go back to his old life after travesty strikes him. The pacing is surprisingly brilliant as it starts you off with John Wick injured and you don't understand how he got there, but it's abundantly clear at that point he's not a super solider who can withstand everything, he's still a human at the end of the day and that's what makes you care about him throughout the entire movie since you worry and fear for his life when there are DOZENS of bad guys in this film. Speaking of the bad guys, these main villains are technically noobs but the reason you'll start to care about them is that they commit a horrible act to the main character of all people and that in return helps you start to root for John to take down the bad guys and when he does, I'm glad it's a ""kill him, get out of there"", there's really no reason to delay their deaths and I'm glad the directors understood that. Speaking of killing, the gun fighting and techniques Keanu Reeves uses to take down his opponents are surprisingly good and are more focused and smart and you can really feel it with how the camera moves. The characters are surprisingly memorable with each of their individual actions and motivations and helps out in more variety in the film. Now that being said, it's all not happy news with how this movie reuses plenty of enemies with no stronger ones later on and it does drag down the experience when you have to watch John kill basically the same leveled enemies over and over again. In the end though, this film is amazing and is certainly a film I'd love to re-watch in the distant future with how good it is and I can't wait to see what the sequels have in store.","JAN 25, 2023",10,Crime
John Wick,"Who would've thought a movie about someone taking revenge for their dog, would lead to one of the best action franchises of all time? Rewatching the first one after all this time, John Wick isn't as badass here as he is in later entries. He survives a lot because the antagonist don't simply kill him or because his friend saves him. It also ends weirdly with a one on one fight with an old man. Nevertheless, it is still a terrific action movie with memorable action sequences such as the house and the club shoot-out. Keanu was also a great casting choice! This should be a template for how to make a great action movie!","MAY 26, 2023",8,Crime
John Wick,it has good action scenes Story is avarega well good for that reason good movie..i think it should be watched,"AUG 9, 2021",8,Crime
John Wick,"A movie with a surprisingly low budget, but uses it effectively. One of the greatest action movies I’ve ever seen.","JUN 3, 2023",8,Crime
John Wick,"John Wick packs a punch- literally, but the mostly successful minimalist plot loses focus in an unemotional finale.","OCT 25, 2021",7,Crime
John Wick,John Wick might feel like a typical action film to some. But the main characters and the whole criminal world they live in makes it much more interesting that what we're used to seeing in the genre.,"APR 11, 2023",9,Crime
John Wick,"John Wick, a solid straight forward revenge movie with some flawed, which is the main reason why it all happens i found it not silly but more of like could've been a better things or object, still works though, and the last flawed is the build up to the main things made so perfectly but how it ends the two main villain was sort of just like that if you know what i mean, but again the build up is perfect, the choreography was incredible, exciting, and brutal, and the two main villain of the movie despite the end flaws are played so great, Alfie Allen characters is an **** and he supposed to be and it works, so do Michael Nyqvist and the rest of the cast including of course the man John Wick himself, Keanu Reeves, he is amazing, and so the final product of the movie, i think John Wick is still amazing overall, it's badass, it's exciting, it's brutal, and i love it.","DEC 30, 2022",9,Crime
John Wick,"One of the first action films to really break the industry out of the Paul Greengrass era of awful quick cuts and shaky cam, John Wick is a hyperviolent action thriller with a simple premise executed to the highest level. It features terrific fight choreography and a real flare for the stylish, with Keanu Reeves giving a tone perfect performance. He hits that sweet spot of playing it straight while fully embracing the sillier aspects of the material.","MAR 23, 2022",9,Crime
John Wick,"I love the John Wick series. Whether it's because Keanu Reeves plays here, which is my favorite actor, or because it's just that the action scenes from this series have no competition for me. The story is quite simple, but it works best. The negative is perfect and the whole thing has such a luxurious atmosphere that I can't describe. John Wick is a great movie for me and if you love action like me, I can recommend it to you.","FEB 17, 2021",8,Crime
John Wick,"Entertainment: 4/5 Acting: 3.5/5 Story: 3/5 Length: 5/5 Score/Screenplay/Sound/Stunts: 4/5 Is it worth watching a second time: Yes Watch it Alone or In a Group Setting: Both work fine Keywords: Guns, Sigma, Muscle, Russians, Mafia, Hitman P.S. Awesome fight choreography, sound, etc, the story could've been better, but for the run time, its a bang for a buck","MAR 21, 2023",8,Crime
John Wick,Reeves is such a great actor. Another action packed filled movie. He nuts on everyone all because they killed his dog.,"DEC 30, 2022",8,Crime
John Wick,"John Wick, a story about a killer who wanted to get involved, but as one of the villains said, “is it fate or chance” that their paths crossed again, the story of the place would say nothing special, there is some backstory, the first 10 minutes, and that’s it It was enough, or... it became a pity, in general, I felt John’s pain, and I understand him. Some guy ruined everything, here the film itself begins, an action shootout, then we are introduced to some characters, friends (even a killer can have friends), acquaintances. Then there was a moment when one character acted very stupidly, and John himself said it, and then in 3 in my film, he himself commits this stupidity, it’s funny. The film is an action thriller, and this is not bad, the scenes are at their best and everything is real, but from time to time we remind you that Wick is also a human being, and gets injured, and there are a couple of scenes where he is almost killed, if not for the circumstances. The theme of family also creeps in a little, because losing everything because of a mistake by a relative is really bad, but doing nothing is also not an option, your conscience will torment you, and here you can understand the main villain. Bottom line: A good action movie of category B, what I realized after watching the film is that the revenge of a dish that is served cold, the animals are innocent.","JUL 29, 2023",8,Crime
John Wick,"A film full of action and great setting. John Wick is one of the coldest movie character in history. The dude that John wants to kill is such a dumb character, John deserves more than that","MAY 30, 2023",9,Crime
John Wick,"John Wick is something special. It takes as much time setting up elaborate action sequences as it does the world with which it all takes place in. And what a world it is. It reminds me of Millers Crossing and it is cooler than any other recent attempt at noir. We are shown a criminal underworld where, if you are connected, many powerful people know who you are and show you respect. John Wick was connected but he got out. He is the rare killer who has found peace, and he is grateful for that peace. Some young kids steal that from him and he does what he does best, he wages a one man war against the Russian Mafia. It might sound like the film takes quite a leap but it all makes sense. The motives of John and the people who get in the way of his bullets are all very clear, even if it does come across as rather simple. That's the plot at it's most basic. Then there's the action. The film is directed by Reeve's stuntman from The Matrix, so this guy knows action. There are sequences that flow so smoothly it puts other action films and their quick cuts to shame. Keaunu moves so fluidly throughout the film and comes across as such a natural that the only disappointment is that we have not seen him like this before. Along the way are plenty of character actors, fans of The Matrix and The Wire will recognize a few people then there are more obvious ones like Ian McShane and Willem Dafoe. Everyone seems to be having a good time. That is another plus for this movie. It get's dark at times but overall it is quite fun, not very chipper, but fun. I cannot recommend this movie enough. I believe it is a must see for action fans and for anyone looking for something a bit different from the usual fare :)","MAY 21, 2023",9,Crime
John Wick,the best movie that I have ever watched outstanding amazing lovely just must watch that now what am I saying,"AUG 18, 2021",10,Crime
John Wick,I really liked the movie.specialy the action was awesome.A normal story with nice narrative.really liked the emotions behind John wick's actions. Acting was very nice.liked the part when John wick arrives in pub to kill losef. Most of the characters were nice . Movie is recommended for those love action,"MAY 1, 2022",8,Crime
John Wick,"It Was a BLAST It was so incredible a EX HITMAN just wanted to retire and get to live its life for the woman he loves, but he lost his woman and got a second chance in is live with a poppy so the poppy got killed by a butch of IDIOTS.","FEB 11, 2021",10,Crime
John Wick,Its supposed to be an action show. Its an action show since the beginning to its end and it has no break. Pure entertainment.,"JUN 8, 2023",10,Crime
John Wick,"It is a a good movie a must watch I think so, but don't expect it to become a classic in your library.","MAR 19, 2021",7,Crime
John Wick,Mostly a run-of-the-mill revenge-themed FPS. It is fun to see Keanu Reeves but there is little to elevate this film beyond others of the genre. The cinematography is beautiful and the world created is clever but once the novelty of these elements wears off you're left with little more than a high body count.,"JAN 15, 2015",6,Crime
John Wick,"I wouldn't say it's a bad movie, but I wouldn't say it's a masterpiece either.","MAR 28, 2020",6,Crime
John Wick,"Keanu Reaves stars John Wick, a 'retired' professional killer. Her wife got killed somehow after he settled down for marriage. Soon after, a group of mobsters attacked him in his house, killed her wife's dog and stole his car. That got him from greaving to silent rage, going after his assailants. He is darned good at killing people and is able to take on an army of mobsters with relative ease. That is all to it for the plotline, pure revenge and lots of gunfire. If you enjoy mindless shooting action, this movie is for you. If you are looking for movie with substance, pass this.","APR 23, 2018",6,Crime
John Wick,"Mayhem is everywhere. The male russian population of the tri-state area was decimated in the disco scene alone. We're running out of racial stereotypes. Movies wont do much with muslims anymore, other than portray them as victims or conciliating peacekeepers. Art DOES reflect reality after all. And to kill a little snoopy dog in cold blood? You lose a star for that alone. The story is a little complicated. It seems that there was a car and a dog and a man trying to grieve over a lost wife. No one ever loses an uncaring fat ugly wife in the movies like in reality. They lose a smoking hot soulmate. Totally irreplaceable. And a perfect all orig 69 boss mustang fastback. Russians and ISIS might start makng their own mov- oh never mind. Willem Dafoe, too cool. Hope he is back for a **** McShane too. An outtakes reel with some state farm spoofs would have gotten a higher rating. Mayhem is everywhere.","FEB 28, 2015",6,Crime
John Wick,"This should be called Plot Armor: The Movie. It's a dumbed down revenge action movie that can't even make the action parts interesting. No bullet can touch the hero even when his opponents (plural is right) have a clear shot. When that conceit isn't enough, the movie's IQ drops even further when the villains stop shooting and politely wait within melee distance for Wick to dispatch them.","APR 6, 2017",5,Crime
John Wick,"I saw music videos with better plot. Keanu is as far from badass as the mcguffin puppy from the first segment. It just doesn't work at all, so why not start a whole goddamn franchise on this fine foundation? Turns out you don't even have to suspend disbelief to make movies these days","JUN 24, 2019",4,Crime
John Wick,Meh. Ok action movie with at least at surface sensible plot and some cool scenes. Pretty cheesy. I didn't enjoy it.,"MAY 11, 2023",5,Crime
John Wick,"A non-stop rampage of killing with style, is the best way to define the movie, lay the foundation of the John Wick feelings gets a bit weak while the script got cheesy at the beginning, some scenes could been done much better ""No the action ones, they are quite good"" but you can't feel connected with the principal characters in any point and cause that they seem a bit fake. It is a a good movie a must watch I think so, but don't expect it to become a classic in your library.","DEC 24, 2014",6,Crime
John Wick,"If you're asking me if John Wick is entertaining, the answer would be a resounding ""yes"". The action is fantastic throughout most of the film, the gunplay is some of the best in modern cinema, and the unique elements of the film make for a combination of intrigue and strange humor that make the fairly short movie a joy to watch. If you're asking me if John Wick is a good quality movie, the answer is more of a ""meh, not really... but it's not bad."" The acting is almost non-existent (seemingly by design to fit Keanu Reeves' style), the plot is about as generic as they come, and the ending is laughable. During the first 90% of the film, they made an effort to be as realistic as possible. That end sequence almost erased all of it. It was still an entertaining movie but I was hoping for more.","JUL 26, 2015",5,Crime
John Wick,"Worth the entertainment. Reminded me of an early Jet Li or Kill Bill type of revenge-ninja movie. Pretty much a revenge movie for dog lovers. Action was good at times, okay at others. Minor variations of blood/gore/shooting kills. In summary, see if you like those revenge action movies, worth a rent.","OCT 28, 2014",6,Crime
John Wick,"John Wick, the movie, is fun and cool. The action doesn't have the camera shake everywhere. However, that's all this movie has got going for it. The really awesome action. The character is the generic man of little words badass with little motivation besides ""I'm a badass and if you **** with me I'll kill you"". But, these complaints aren't awful. The movie's action is why anyone likes the movie, which is incredible.","SEP 14, 2018",6,Crime
John Wick,"Your typical action movie. Contains lots of actions and if you want just chill and watch it for the action then it's quite good, but if you also want to see some plot which makes sense, then I see many weird things there. Especially when John Wick doesn't kill some of the people you know he will kill eventually anyway and because of that delay some of his friends day and similar things. The movie doesn't bring anything new to the table and has lots of similarities to other similar movies. Also some of the actors who try to speak Russian speak so badly, that it's hard to understand if you actually know the language, anyway, good for the action but not much else.","JUN 24, 2015",6,Crime
John Wick,"Seriously over hyped. I was expecting much, much more than the same old hitman's revenge story. The originality of the Continental Hotel setting gives it an extra point from me, but didn't make the tired plot anymore enjoyable. WHERE ARE ALL THE GOOD SCRIPT WRITERS?","NOV 2, 2014",5,Crime
John Wick,"I just don't understand why I don't like it that much, it's basically made for me, it has fast and sick action, good pacing, and Keanu Reeves as the lead, but I just can't bring myself to love it.","JAN 27, 2022",6,Crime
John Wick,A movie about a guy who kills hundreds of men to avenge his dead dog..................................................................................,"JAN 4, 2015",4,Crime
John Wick,"Although John Wick may have great acting and tons of action, it may be on the edge of overdone. I'd consider it as just another action-flick, with an original, but dumb plot, this film just didn't appeal to me..","NOV 7, 2014",5,Crime
John Wick,"This film is like a barrel of the cheapest vodka - unpretentious, but competent in what you buy it for. Namely to cheer over some good, old, raw violence. The plot is simplest it could be. Uberassassin Neo loses his wife to cancer and Theon Greyjoy kills his car and steals the little puppy she left for Neo to take care of (or the other way around, it does not really matter). There is only one thinkable reaction to this - murder Theon, his Russian mafia boss father, and everyone that gets in the way. Luckily, there is this hotel owned by Odin and managed by leutenant Daniels from Wire that houses all the assassins in the world and sees that they don't assassinate themselves in the hotel. Except they do. Then there is this chick. Well, better not to think about it much, it's as braindead as all the corpses the thin plot manages to manufacture on the way. At least the action is slick and well choreographed, no cheap shakycam like Bourne, and there is satisfying number of nice black cars, leather and quality booze - yes, sir, Blanton's is a fine bourbon, so points for that!","JUN 22, 2019",5,Crime
John Wick,"All style, no substance. After your star dispatches 12 baddies without breaking a sweat in his first action sequence, there's no tension. It's like watching a game of whack-a-mole as Keanu points his prop gun at the stunt doubles and they fall over while missing him with every shot. Unlike Rambo/Die Hard/The Raid/Dredd or any other worthwhile action flick, John Wick has no motivation and its sense of humor is merely passable. It sports a completely unnecessary 20 minute code on the end that just rehashes the 20 minutes that came before that. The director could at least have set up action scenes where it was plausible that the character would win through strategy or planning, but instead he literally walks into the middle of a room and then starts shooting. This is just a mediocre thoughtless action movie.","MAR 4, 2017",4,Crime
John Wick,Vacuous. But with a chance of fun. .,"AUG 31, 2016",5,Crime
John Wick,"decent story and script,nice action scenes and combat,overall a decent movie","DEC 13, 2020",6,Crime
John Wick,"Workmate told me John Wick is like ""Shoot them up"" kind of movie. That's true but it's a little bit mild. Entertaining and i like their style. Shoot them with nice suits, overall the movie is just so so.","OCT 31, 2014",6,Crime
John Wick,"Unoriginal and uninspiring, John Wick is a typical action film where the good guy can't lose. Lucky and unflinching of any pain he is a one man army that goes on to kill all of his enemies, complete with the expected big boss fight in a heavy down pour to conclude. You have seen this film before, many times.","FEB 25, 2017",4,Crime
John Wick,"While the action scenes are impressive, if you watched only the first 15 minutes you've seen everything you need to see. There are only so many ways to watch John Wick kill someone. The problem, though, is that there is no real plot, no real bad guy, really nothing to root for or keep you engaged. Just watching action/violence for the sake of it. Really disappointing, unless you can watch kung fu mixed with Quentin Tarantino-type violence and choreography for 2 hours and not need anything else from a movie.","MAY 19, 2019",4,Crime
John Wick,"""John Wick"" is a one-man-army style of action movie. John Wick (Keanu Reeves) is a retired top-class assassin who is also a member of an underground criminal society. After the son of a Russian mobster invaded Wick's home, killed his dog and stole his favorite car, John Wick gets angry and unleashes Hell. ""John Wick"" is a fun and stylized action film with a shallow plot. But while the first movie laid the foundations, it's the sequel that got everything right.","JUN 4, 2018",6,Crime
John Wick,"Keanu Reeves was a badass, and I liked Alfie Allen too, but I didn't really feel that immersed to the movie. While the action was fun and exciting, there wasn't much else that kept the movie interesting. It's not bad in any way, but it's a bit forgettable.","FEB 21, 2017",6,Crime
John Wick,"A very one dimensional film. If you go, prepare to watch Keanu Reeves engage in hand-to-hand combat, then shoot, one person after another, non-stop, for the entire 101 minute run time of this movie. Cause not much else happens. Yes, it’s film noir. Yes, the fight scenes are neatly choreographed, which makes them interesting for the first 15 or 20 minutes. Yes, the concept of a hotel ""safe zone"" for hit men is unique. But it’s just one continuous fight scene after another. After a while you begin to realize that what you’re watching is a really video game that’s been turned into a movie, complete with video game soundtrack, and a couple of cool classic muscle cars. It's basically grand theft auto Russian style. Everyone in the movie is a Russian gangster and after awhile the accents get annoying. Also, the basic plot is not new. It more or less follows the plot of the 1999 Mel Gibson movie Payback.","OCT 30, 2014",5,Crime
John Wick,"this movie proves putting together a star studded cast & slick, well choreographed fights can't cover for a pedestrian storyline or a vacuous paper thin plot. i've seen better made for tv movies. ultimately, you won't really care what happens or who to. marginally entertaining. skip this one, even if only to re-watch a good movie.","APR 23, 2016",4,Crime
John Wick,"I do not like implausible movies. in some basement John was attacked by thirty people and he had them all shot like in the dash. And why not three thousand or three million? perhaps it would be more interesting or not? but in fact the film has turned out not bad, but it would turn out better, if to add a little more common sense in the fighting scenes","FEB 20, 2017",5,Crime
John Wick,"I'm dumbfounded how this movie got 3.5 to 4 stars out of 5 in several reviews. Plot is a bore, no twists or turns, weird structure, unimpressive villain, anti-climactic ending. I could go on and on but I might be mistaken for the movie itself. Essentially Keanu Reeves dresses in black, shoots a **** of bullets and engages in hand to hand combat. Nice to see him stretch. Great camera movement, lighting, and set design are wasted here. Tsk Tsk.","DEC 27, 2015",4,Crime
