Movie name,Review,Created at,Score,Genre
Brazil,A clever and satyric dystopia exposing the troubles of bureaucracy and other ills of modern society. Sometimes it looks like a grotesque comedy and sometimes it is really scary in it's totalitarian terror with a surrealistic touch of Terry Gilliam. So I believe the movie was actual back in 1985 and still it is actual nowadays.,"SEP 29, 2013",8.0,sci-fi
Donnie Darko: The Director's Cut,"Do you ever wonder if the world you are living in is real? Do you wonder if it is nothing more than just a fabrication of your own insane imagination, or if it is happening for real? Donnie Darko is asking himself those very same questions as he travels down a mind breaking, insanity inducing journey that leaves you with a disturbing and haunting answer that will shatter everything you think you know about reality and also leave you with one **** question, where does fantasy end and reality begin? Richard Kellyâ","AUG 10, 2010",10.0,sci-fi
Face/Off,The jump from the oil rig was 70 feet. They called in a stuntman who specialized in high dives.,"APR 23, 2021",10.0,sci-fi
Moon,"Overall, this one is pretty good. It is not great as many would have you believe nor is it criminally underrated. If anything at this point, it is a tad overrated. That is not to say is not quite good, though, as it is. Sam Rockwell is great and I love Kevin Spacey's voice acting here (the robot voiced by Spacey is 110% influenced by HAL from 2001: A Space Odyssey). The special effects were also incredibly cool, but were not the focus, rather the focus of this one was on the story and Rockwell, to great effect. The effects were certainly great in a more ""supporting"" role though. In addition, this futuristic world is very well developed and established, which makes the story feel incredibly believeable. The story is also very interesting and well put together, so kudos to Jones for the script and his direction. However, I never really saw why this one has become an obsession for many. It was darn good and was certainly well done making it worthy of some praise, but it was anything but extraordinary to me.","JUL 13, 2014",8.0,sci-fi
Unbreakable,"If ever a filmmaker vaulted from unknown to lionized status on the basis of one film, it was M. Night Shyamalan with “The Sixth Sense,” a little-anticipated ghost story that became one of the 10 highest grossers of all time. The question of whether this singular writer-director can deliver again will, by itself, guarantee a large turnout for “Unbreakable.” The answer is that he delivers much of the same: Same star, same preoccupation with telepathic and quasi-supernatural/religious powers, same hushed tone and deliberate pace, same sense of absolute control. But there are also serious differences: A weaker story, increased pretentiousness, some ill-advised narrative zigzags and a “surprise” ending that can’t begin to compare with the one in his previous picture. In addition to the draw repped by Shyamalan, Bruce Willis and Samuel L. Jackson, yarn possesses sufficient intrigue to hook audiences and keep them on board much of the way, so despite the ultimate sense of letdown, B.O. prospects are very sturdy. Following a mysterious prologue revealing the birth in 1961 Philadelphia of a black boy who enters the world with broken arms and legs, second scene is so good that it raises what are gradually revealed to be unrealistic expectations. David Dun (Willis) is sitting by the window on a train shuttling to Philadelphia from New York, where he’s had a presumably unsuccessful job interview. When an attractive young woman, Kelly (Leslie Stefanson), sits down next to him, he discreetly slips off his wedding ring and quietly chats her up, only to see her get up and move when he pushes too far. After putting his ring back on, he stares outside at the onrushing scenery until it becomes apparent that the train is moving too fast, at which point a cut to David’s son (Spencer Treat Clark) flipping TV channels reveals the news of a terrible derailment. Brief scene obliquely provides all the exposition the viewer needs to know — the status of David’s marriage, his job uncertainty, his willingness to move to New York — while superbly building a quiet sense of unease. Much of it is shot with an agile hand-held camera positioned behind the seats in front of David and Kelly, the cuts are all significantly timed, and the mix of sounds — the subdued vocal tones, the ambient noise of the train, the sudden whoosh of an oncoming diesel — is wonderfully subtle. Such a sequence establishes a sense of total confidence that one is in the hands of a master storyteller and creates an automatic viewer willingness to follow wherever he chooses to go. Some viewers will go along with all this, while others, like David himself, will resist. Because the mystery of where the story might be headed is sustained for so long, the film doesn’t go off the tracks all at once. But the superhero angle, which seems a bit odd when introduced, eventually feels all wrong, especially when invested with supernatural and spiritual dimensions that seem like holdovers from “The Sixth Sense.” And while the earlier picture cast the sort of spell that would have been disrupted by any comic relief, the presence of pop culture refs via comics makes quite notable the absence of any humor or sense of fun, just as it makes its pretentions to deep meaning and self-importance all the more specious. All the same, Shyamalan’s handling of individual sequences is often extremely impressive; he clearly knows exactly what he wants and how to achieve it. This time out, he receives a great assist from lenser Eduardo Serra, whose widescreen work within a subdued color scheme is enormously textured and arrestingly composed. Also notable among the uniformly excellent craft contributions are Dylan Tichenor’s precision editing and James Newton Howard’s supple, supportive score. In subdued, subtle form, Willis gently conveys the essence of a working-class man seemingly beaten down by life but mostly victimized by his own refusal to realize his true potential. Jackson lends his commanding presence and persuasive dialogue delivery to the odd role of Elijah, which never becomes fully dimensional enough despite its backstory of tragic vulnerability. Wright Penn doesn’t do much with the flatly written wife part, and it’s during some of her domestic scenes with Willis a little more than an hour in that pic goes into lowest gear. As the couple’s son, Clark bears more than a passing resemblance to Haley Joel Osment, but the kid plays a decidedly peripheral role in this one.","MAR 19, 2016",7.0,sci-fi
Captain America: The Winter Soldier,Jdjdjjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjdjjdjdjdjdjd,"JAN 14, 2022",10.0,sci-fi
Terminator 2: Judgment Day,"I absolutely love this film. Whilst the effects are obviously with that nineties style, with rear projection and early CGI, they are still incredibly impressive and have that tangible reality to them that elevates them beyond modern CGI-only effects. The sound design is also excellent, memorable and pretty-much faultless. The writing is fantastic and this is what, combined with the groundbreaking effects, elevates this to be a truly timeless classic. The acting and characters contribute to the story and effects. It’s not one aspect that is good, it is all aspects of this film. I even like the 3D conversion they did, it gave us another way to watching this classic. The story really builds on the first film. The action is exciting. The pacing perfect. Shame James Cameron’s newer films are not as good, along with Aliens (1986) this is the peak of his career in my opinion. It’s an awesome action film, the likes of which only come many years apart. Everything about it is totally kickass brilliant.","FEB 19, 2023",9.0,sci-fi
Star Trek II: The Wrath of Khan,Star Trek 2 is my second favorite movie of all times. This mainly due to the fact this movie can both be action packed and once you get to the end sad. If your first timer to star trek than don't worry the movies showcases the characters so well that you feel like you grew up with them. Plus if your a real fan than you'll love how they handle the return of Khan. In conclusion if you are looking for good sci-fi action film than this is the movie for you.,"JUL 18, 2015",9.0,sci-fi
Planet of the Apes,"Planet of the Apes is the first film in the franchise. Perhaps it is the most lamp, but it looks unusual when viewed in 2022. Although the film cannot be said outdated, it looks cheerful enough. The first half of the film is somewhat delayed, but fortunately, at least the end of the film gives the answer to the main question to the viewer. An excellent film that fulfills its task - to interest the viewer in the franchise","JUL 26, 2022",8.0,sci-fi
Star Wars: Episode VI - Return of the Jedi,My personal favourite Star Wars movie. Who loves Luke Skywalker loves Ep. VI. The final and legendary change of Luke becoming a Jedi Master. The conclusion of an era.,"FEB 10, 2022",10.0,sci-fi
